,-8136,3004,11948
,-6184,-564,6528
,-15620,-15096,5184
,-14552,-9532,2624
,-10444,-12644,-52
,-8784,-15880,2316
,-9328,-15868,2752
,-8108,-15208,3852
,-9068,-11620,11108
,-3224,-11096,11820
,4764,-10352,9848
,14252,-23820,7744
,12804,-20360,8480
,4528,-16948,8180
,3576,-20792,11280
,11784,-32768,9668
,32767,-32768,30864
,32767,25664,15948
,-8788,2336,13124
,-9948,-1640,12400
,-9956,-1644,5964
,-14756,-8532,1788
,-15764,-9860,-1008
,-12348,-11476,-1292
,-11124,-11660,-2624
,-10636,-16516,1876
,-10328,-16792,3008
,32767,11116,16632
,-4540,16748,8380
,-12416,3172,11852
,-8724,5040,10580
,-7896,-6120,8800
,-12684,-10032,844
,-13404,-12132,-1348
,-12984,-11832,-3480
,-10796,-12508,-3700
,-8976,-14124,-956
,-11200,-17668,-576
,-8856,-15848,-268
,-9088,-13852,2968
,-7752,-12220,11928
,4832,-13768,14124
,17124,-19448,8144
,24240,-13832,5352
,15776,-18220,6392
,13044,-29944,12032
,27196,-32768,1772
,32767,-29452,32767
,28736,23716,13972
,-10176,-340,12452
,-11492,-520,10784
,-8636,-668,8828
,-11712,-7664,6224
,-13412,-12256,4216
,-14692,-15924,1080
,-11644,-14072,-1556
,-10564,-13104,-1912
,-9440,-13720,1256
,-10252,-15448,2540
,-9724,-13584,4264
,-7244,-13044,12376
,3120,-12472,11164
,12656,-20840,9300
,13112,-17148,5288
,9668,-17032,8196
,32767,-15996,32767
,-3656,11292,14896
,-12760,2424,11504
,-8940,2408,8716
,-10012,-3900,4900
,-13724,-11476,3956
,-14552,-14740,4472
,-13840,-13756,2780
,-10292,-12600,-2500
,-7420,-13688,-136
,-7768,-15876,2364
,-6940,-15128,6292
,-7700,-12532,9508
,-3336,-10924,15076
,5428,-12824,10720
,20012,-14972,17084
,15928,-16956,7500
,9124,-21864,9364
,13936,-32768,11488
,32767,-32768,15704
,32767,21968,10608
,-6224,12504,10092
,-9836,1452,15124
,-8660,672,10028
,-11228,-6444,5700
,-11992,-9764,6176
,-11344,-13140,6488
,-12636,-15276,872
,-11600,-15388,1400
,-10496,-14408,4736
,-10392,-14432,7816
,-7472,-10360,13736
,1324,-6412,18348
,32436,-10524,7000
,30952,-13712,1864
,14896,-17840,8224
,11268,-21784,8392
,32767,-32768,13556
,32767,10432,5980
,3412,29172,10916
,-8516,-3008,11752
,-8856,-376,14296
,-9068,-2012,10684
,-13436,-7056,1496
,-12956,-8064,700
,-10908,-14436,1692
,-13784,-11764,-1404
,-8760,-16228,-476
,-11700,-19120,3424
,-8724,-15192,7820
,-6316,-11316,12248
,1556,-10464,13012
,18328,-6640,13504
,27356,-7468,8992
,16932,-27016,3864
,11612,-26556,8596
,32767,-32768,8684
,32767,4312,16432
,5448,25448,11308
,-9892,-2368,13436
,-9192,2276,11468
,-8248,-8004,2884
,-13700,-9180,3524
,-12344,-12920,9072
,-11928,-14364,-2368
,-13132,-12472,-3468
,-9804,-12380,-1520
,-9356,-15384,1604
,-8536,-15132,4588
,-8268,-14288,7256
,-4332,-12192,13168
,7396,-12260,12364
,5708,-28328,9680
,-9748,-3400,8588
,-11180,-8604,3664
,-16808,-8012,-1684
,-13216,-7144,-1268
,-9720,-11684,-5100
,-11132,-17116,-5244
,-14316,-17596,-1208
,-8540,-14336,820
,-6900,-13268,1760
