ForhandSlice, -8928,-11696,4792,1692,-11320,11204,8796,-11036,-3060
ForhandSlice, -8496,-10900,8424,3276,-8988,12996,10524,-12192,-752
ForhandSlice, -2092,-9684,14576,11236,-8372,10356,14176,-10680,-4004
ForhandSlice, 4188,-19480,11084,15832,-13124,5648,14260,-10648,-7320
ForhandSlice, 4632,-32768,9732,20512,-25720,9388,18556,-12232,-5600
ForhandSlice, 1016,-31668,-10164,7308,-29112,2640,8584,-20816,3200
ForhandSlice, 1752,3168,-6256,-4224,-1248,-4856,-2228,-3720,-5348
ForhandSlice, 748,4084,-15740,-7480,-11744,-14128,-332,-12264,-10960
ForhandSlice, 22652,-19824,-32768,9132,-32768,-18556,11604,-32520,-12212
ForhandSlice, 27800,-32768,-32768,20668,-32768,-31188,32767,15544,-6144
ForhandSlice, 6712,-14044,-10980,5476,-15408,-8528,10600,-8784,-988
ForhandSlice, 3644,-6864,-6408,1092,-6560,-5236,6468,-12160,1496
ForhandSlice, 832,-16624,-13932,392,-17532,-5304,4048,-11896,1680
ForhandSlice, -8812,-12224,-3308,-3072,-15816,9416,452,-23312,1692
ForhandSlice, -12548,-14584,-608,-6636,-13804,8960,-1132,-14952,1664
ForhandSlice, -9472,-9180,-1120,-4604,-10860,8792,2544,-13844,-604
ForhandSlice, -10228,-7248,-936,-7536,-8656,8972,768,-17516,-4720
ForhandSlice, -13808,-10716,-352,-6408,-12704,12360,5308,-17360,-3196
ForhandSlice, -12704,-13716,3796,-912,-13160,14668,9280,-15224,-3044
ForhandSlice, -12940,-12560,6920,268,-10672,16452,9772,-14476,-2040
ForhandSlice, -9428,-11076,5976,1248,-9392,12536,9464,-11348,-2276
ForhandSlice, -6272,-7876,9792,5844,-5644,12084,13688,-10324,-1360
ForhandSlice, -276,-16272,15020,14148,-11224,10776,14012,-7280,-6704
ForhandSlice, 2112,-32768,16392,22148,-19372,14088,17020,-13532,-9028
ForhandSlice, -124,-32768,5948,20524,-32660,10628,8292,-22120,-5116
ForhandSlice, 4276,-15264,-15480,44,-17904,-5940,3552,-12520,-2948
ForhandSlice, 2380,7740,-8524,-4260,-2312,-7768,-4008,-4524,-8296
ForhandSlice, -3364,420,-17252,-8988,-15416,-6292,4896,-18476,-15808
ForhandSlice, 32767,-25948,-32768,32767,-32768,-10804,4752,-32768,13256
ForhandSlice, 8792,-15716,-14232,7620,-16828,-9916,9564,-16232,-10424
ForhandSlice, 6336,-21612,5032,11184,-19568,2024,9452,-12608,2964
ForhandSlice, -3492,-16968,544,3660,-14416,7420,8284,-10748,2760
ForhandSlice, -8596,-11596,-868,-3180,-13436,6948,2728,-15812,3448
ForhandSlice, -15316,-7636,2860,-6956,-7168,14448,-304,-19044,4672
ForhandSlice, -15956,-7252,2204,-7060,-7680,14800,616,-15976,3916
ForhandSlice, -14304,-7420,2216,-6600,-7504,12824,852,-14192,1248
ForhandSlice, -9804,-8200,2580,-4212,-8036,10716,4136,-14728,-176
ForhandSlice, -15312,-9604,5368,-4436,-9204,16920,5440,-17844,1752
ForhandSlice, -15312,-12032,7664,-2532,-9920,18172,6908,-17688,332
ForhandSlice, -12692,-10092,6664,-560,-8892,15636,7396,-13580,172
ForhandSlice, -7540,-7076,8824,3224,-5984,12816,11428,-12248,-204
ForhandSlice, -180,-10876,8844,10444,-6252,8172,13120,-12448,-4428
ForhandSlice, 6432,-7044,-18272,-1532,-10948,-11072,212,-8712,-6176
ForhandSlice, 1196,8900,-5424,-4892,-940,-7336,-148,-7304,-10928
ForhandSlice, 17604,984,-32768,3932,-26716,-22924,17464,-31668,-17892
ForhandSlice, 32767,-32768,-9900,32767,-32768,-29384,32767,12912,-29480
ForhandSlice, 9308,-16312,-6404,2840,-15428,-5080,12320,-10820,-4964
ForhandSlice, 6496,-10996,-13172,14304,-19216,-8456,8344,-12316,3620
ForhandSlice, -1056,-16148,-9504,2096,-15488,1196,3808,-15308,3540
ForhandSlice, -5052,-9252,-7572,-4620,-12920,1720,328,-21100,1956
ForhandSlice, -15280,-4200,4864,-8808,-5336,13612,-1684,-15968,4236
ForhandSlice, -3824,-27672,19036,18680,-18324,17188,16856,-13036,-7300
ForhandSlice, -3688,-32768,3340,15188,-31368,12812,7136,-22804,-1116
ForhandSlice, 6660,-10556,-18152,-996,-15316,-9824,1788,-12672,-3332
ForhandSlice, 3064,5944,-8252,-2800,-2096,-10356,-2620,-3836,-7000
ForhandSlice, 6120,260,-22656,-3616,-18080,-14356,4140,-16712,-13468
ForhandSlice, 32767,-32768,-30140,32767,-32768,-12236,13900,-32768,-8076
ForhandSlice, 17292,-3028,-18000,1456,-3508,-27940,6052,-32768,-9016
ForhandSlice, 12964,-16392,-7920,14924,-17648,268,10008,-16264,924
ForhandSlice, 4072,-15484,-6072,4936,-15952,676,7488,-11156,3348
ForhandSlice, -8732,-8468,-2132,-5152,-11980,3860,-796,-11372,1560
ForhandSlice, -11208,-7256,732,-6048,-8372,8792,-720,-15520,1168
ForhandSlice, -12788,-8660,4780,-5700,-6176,13652,1204,-15036,2076
ForhandSlice, -13788,-4952,1392,-6720,-7008,11988,604,-13528,-944
ForhandSlice, -14356,-9112,1464,-6256,-10548,13844,4636,-18900,-1120
ForhandSlice, -17032,-11920,4944,-4776,-10232,17696,5520,-18752,100
ForhandSlice, -12020,-8636,2352,-2776,-8564,12476,4840,-13404,-1152
ForhandSlice, -7732,-3192,7136,1724,-2336,11732,9208,-11916,-336
ForhandSlice, -6148,-15136,14844,10788,-10684,14468,14752,-10064,-1992
ForhandSlice, -3928,-16132,11368,11608,-13292,11044,14188,-12472,-8476
ForhandSlice, -548,-28704,17608,19900,-18648,15588,18104,-12576,-6020
ForhandSlice, 1120,-32768,-12,14672,-31088,8620,10840,-22540,-248
ForhandSlice, -160,-6488,-15368,-5268,-12868,-5940,1432,-11568,-2244
ForhandSlice, 2100,4792,-9552,-3168,-5868,-8772,-1212,-4752,-8456
ForhandSlice, 2236,-10076,-26488,-2780,-24512,-6132,10032,-17672,-12376
ForhandSlice, 32767,-32768,-32768,32767,-32768,-26972,32767,-29204,-3508
ForhandSlice, 22892,-18924,-16320,14232,-13936,-15828,10296,-27064,344
ForhandSlice, 6252,-21856,-4620,10868,-18420,1092,9236,-15476,2572
ForhandSlice, -6164,-11368,1160,-852,-9996,10916,3192,-13832,2164
ForhandSlice, -10064,-8348,-816,-6136,-9776,7932,-680,-15564,2912
ForhandSlice, -15396,-7280,2072,-6992,-6940,12828,-508,-16064,3180
ForhandSlice, -13236,-10532,-616,-6800,-9524,11788,372,-15996,2460
ForhandSlice, -12908,-7108,-680,-7252,-9232,11532,780,-15216,-784
ForhandSlice, -17248,-10848,1896,-6028,-11352,16336,4680,-19856,1092
ForhandSlice, -16092,-8104,4424,-4508,-7788,15928,4544,-16960,2216
ForhandSlice, -10804,-8320,3252,-1424,-7764,11968,4780,-11756,764
ForhandSlice, -11092,-6080,7400,944,-5348,15028,9664,-13988,2608
ForhandSlice, 4160,-5736,14340,13300,-3880,5976,12916,-10524,-3608
ForhandSlice, 15316,-32768,12016,29864,-28964,2780,24012,-12464,-8308
ForhandSlice, 9108,-32768,-21696,6436,-32768,-6880,5280,-20388,-1908
ForhandSlice, 3004,-196,-12620,-3560,-6772,-7808,-2856,-6164,-6432
ForhandSlice, 1040,8928,-4176,-4432,460,-7140,-1792,-5984,-8768
ForhandSlice, 12228,6592,-24100,-352,-14740,-20588,14260,-26628,-11396
ForhandSlice, 32767,-32768,-32768,32767,-32768,-25412,32767,6064,-28056
ForhandSlice, 13516,-24300,-12380,12444,-21600,-10016,11500,-31656,-1744
ForhandSlice, 6640,-16944,-8408,5816,-17252,-444,9084,-20044,3460
ForhandSlice, 404,-12880,-3264,2736,-10820,2572,4120,-14996,1184
ForhandSlice, -10920,-8432,-388,-5032,-10152,10164,-1424,-16740,4996
ForhandSlice, -15296,-4448,3408,-6800,-6076,14616,872,-14992,3400
ForhandSlice, -13664,-6744,-624,-7352,-8564,11208,372,-15260,292
ForhandSlice, -10224,-7136,-832,-4484,-8564,9432,3060,-15360,-408
ForhandSlice, -13912,-8056,332,-5320,-10052,13816,4780,-16768,-1172
ForhandSlice, -17464,-15008,2456,-3800,-13968,17404,7796,-19116,-2592
ForhandSlice, -13396,-11868,3732,-1532,-11056,14332,7016,-14764,-1104
ForhandSlice, -8364,-7208,11268,5012,-4672,14052,11360,-8372,-320
ForhandSlice, 1756,-12540,16048,13848,-8200,10728,15076,-10704,-2160
ForhandSlice, 7196,-9660,-18992,-1196,-14108,-10832,232,-12840,-5048
ForhandSlice, 1040,1864,-18920,-5580,-13772,-9688,2052,-14168,-13328
